Infrared,Distance
3679.00,0
3642.00,0
3664.00,0
3664.00,0
3648.00,0
3663.00,0
3664.00,0
3663.00,0
3653.00,0
3664.00,0
3662.00,0
3664.00,0
3664.00,0
3664.00,0
3660.00,0
3676.00,0
3663.00,0
3664.00,0
3663.00,0
3664.00,0
3661.00,0
3650.00,0
3661.00,0
3661.00,0
3665.00,0
3662.00,0
3662.00,0
3664.00,0
3662.00,0
3659.00,0
3603.00,0.5
3567.00,0.5
3595.00,0.5
3591.00,0.5
3591.00,0.5
3597.00,0.5
3595.00,0.5
3598.00,0.5
3596.00,0.5
3591.00,0.5
3590.00,0.5
3590.00,0.5
3593.00,0.5
3580.00,0.5
3583.00,0.5
3568.00,0.5
3591.00,0.5
3583.00,0.5
3591.00,0.5
3597.00,0.5
3522.00,1
3504.00,1
3488.00,1
3488.00,1
3489.00,1
3491.00,1
3501.00,1
3493.00,1
3489.00,1
3499.00,1
3502.00,1
3471.00,1
3503.00,1
3504.00,1
3504.00,1
3504.00,1
3503.00,1
3483.00,1
3504.00,1
3504.00,1
3503.00,1
3541.00,1
3504.00,1
3499.00,1
3501.00,1
3495.00,1
3503.00,1
3503.00,1
3504.00,1
3504.00,1
3483.00,1
3501.00,1
3504.00,1
3504.00,1
3504.00,1
3504.00,1
3503.00,1
3502.00,1
3541.00,1
3501.00,1
3502.00,1
3489.00,1
3489.00,1
3479.00,1
3502.00,1
3498.00,1
3520.00,1
3189.00,1.5
3179.00,1.5
3023.00,1.5
3188.00,1.5
3189.00,1.5
3182.00,1.5
3189.00,1.5
3190.00,1.5
3194.00,1.5
3190.00,1.5
3184.00,1.5
3203.00,1.5
3195.00,1.5
3195.00,1.5
3215.00,1.5
3195.00,1.5
3195.00,1.5
3229.00,1.5
3193.00,1.5
3191.00,1.5
3184.00,1.5
3383.00,1.5
3191.00,1.5
3194.00,1.5
3183.00,1.5
3193.00,1.5
3198.00,1.5
3191.00,1.5
3190.00,1.5
3184.00,1.5
3119.00,1.5
3120.00,1.5
3122.00,1.5
3105.00,1.5
3154.00,2
3157.00,2
3148.00,2
3158.00,2
3161.00,2
3155.00,2
3163.00,2
3163.00,2
3166.00,2
3159.00,2
3162.00,2
3163.00,2
3160.00,2
3161.00,2
3159.00,2
3161.00,2
3170.00,2
3147.00,2
3159.00,2
3163.00,2
3162.00,2
3163.00,2
3162.00,2
3165.00,2
3163.00,2
3161.00,2
3163.00,2
3164.00,2
3182.00,2
3161.00,2
3161.00,2
3163.00,2
3161.00,2
3165.00,2
2653.00,2.5
2655.00,2.5
2655.00,2.5
2656.00,2.5
2656.00,2.5
2644.00,2.5
2653.00,2.5
2656.00,2.5
2653.00,2.5
2706.00,2.5
2654.00,2.5
2654.00,2.5
2654.00,2.5
2656.00,2.5
2652.00,2.5
2657.00,2.5
2651.00,2.5
2651.00,2.5
2650.00,2.5
2649.00,2.5
2654.00,2.5
2653.00,2.5
2654.00,2.5
2654.00,2.5
2654.00,2.5
2655.00,2.5
2653.00,2.5
2655.00,2.5
2653.00,2.5
2653.00,2.5
2653.00,2.5
2657.00,2.5
2655.00,2.5
2671.00,2.5
2655.00,2.5
2654.00,2.5
2654.00,2.5
2658.00,2.5
2656.00,2.5
2657.00,2.5
2652.00,2.5
1968.00,3
1968.00,3
1968.00,3
1968.00,3
2083.00,3
1968.00,3
1968.00,3
1969.00,3
1968.00,3
1968.00,3
1969.00,3
1968.00,3
1984.00,3
1969.00,3
1968.00,3
1968.00,3
1968.00,3
1985.00,3
1970.00,3
1969.00,3
1968.00,3
1936.00,3
1968.00,3
1968.00,3
1969.00,3
1968.00,3
1966.00,3
1970.00,3
1965.00,3
1967.00,3
1968.00,3
1959.00,3
1968.00,3
1968.00,3
1969.00,3
1974.00,3
1968.00,3
1968.00,3
1968.00,3
1968.00,3
1968.00,3
1963.00,3
1968.00,3
1968.00,3
1930.00,3
1969.00,3
1968.00,3
1968.00,3
487.00,3.5
485.00,3.5
485.00,3.5
523.00,3.5
485.00,3.5
484.00,3.5
487.00,3.5
499.00,3.5
485.00,3.5
483.00,3.5
485.00,3.5
491.00,3.5
486.00,3.5
495.00,3.5
485.00,3.5
482.00,3.5
464.00,3.5
486.00,3.5
485.00,3.5
483.00,3.5
489.00,3.5
739.00,3.5
485.00,3.5
487.00,3.5
535.00,3.5
785.00,3.5
488.00,3.5
489.00,3.5
485.00,3.5
486.00,3.5
485.00,3.5
476.00,3.5
486.00,3.5
483.00,3.5
718.00,3.5
485.00,3.5
485.00,3.5
486.00,3.5
486.00,3.5
485.00,3.5
487.00,3.5
483.00,3.5
486.00,3.5
485.00,3.5
483.00,3.5
491.00,3.5
483.00,3.5
482.00,3.5
175.00,4
174.00,4
170.00,4
161.00,4
176.00,4
171.00,4
175.00,4
167.00,4
178.00,4
158.00,4
167.00,4
169.00,4
166.00,4
162.00,4
167.00,4
166.00,4
164.00,4
180.00,4
167.00,4
163.00,4
166.00,4
167.00,4
169.00,4
167.00,4
206.00,4
165.00,4
165.00,4
159.00,4
172.00,4
163.00,4
167.00,4
167.00,4
182.00,4
165.00,4
163.00,4
170.00,4
167.00,4
164.00,4








